================================================================================
NBA MONTE CARLO SEASON SIMULATOR: 10-SEASON BACKTESTING & VALIDATION REPORT
================================================================================

--- 1. EXECUTIVE SUMMARY & ARCHITECTURE FIXES ---
* Contamination Root Cause Fixed: Merging opponent stats previously caused row duplication. Fixed to exact 1:1 row correspondence across 26,418 team-game rows.
* Schedule Loading Generalized: load_season_schedule(season) supports all seasons with strict intra-season feature backfilling (zero cross-season leakage).
* Long-Horizon Team Strength Features Added: Added SEASON_POINT_DIFF (season-to-date cumulative net rating) and EMA_POINT_DIFF (slow-decay exponential moving average with 20-game half-life) alongside the 10-game rolling Four Factors.
* LightGBM Four Factors + Long-Horizon Model: Trained across 10 seasons dataset with 15 features. Test accuracy increased to 60.87% (Log Loss 0.6571, Brier 0.2324).
* Fixed-Seed Deterministic: Verified identical simulation results across reruns with same random seed.
* Pipeline Sanity Suite: 6/6 automated test checks passed in scripts/pipeline_test_suite.py.

--- 2. 10-SEASON MAE SUMMARY TABLE (1,000 SIMULATIONS EACH) ---
 Season  Games  MAE (Wins)  Max Error        Top Overperformed       Top Underperformed                                               Notes
 DET           20          32.70     4.00       21       44      12.70
 ATL           20          26.52     3.90       15       38       6.52
 MIN           19          28.79     3.77       16       40       9.79
 CLE           19          25.00     3.87       13       37       6.00
 GSW           15          25.46     3.74       10       38      10.46

==================== SEASON 2020-21 (MAE: 5.68 wins) ====================
Team  Actual Wins  Sim Mean Wins  Sim Std  Sim Min  Sim Max  Abs Error
 UTA           52          41.59     3.91       29       53      10.41
 PHX           51          40.99     3.94       31       54      10.01
 PHI           49          39.53     4.02       26       53       9.47
 BKN           48          41.56     3.88       30       52       6.44
 LAC           47          40.55     4.10       27       53       6.45
 DEN           47          40.21     3.96       28       52       6.79
 MIL           46          41.28     3.90       28       54       4.72
 LAL           42          39.77     3.97       27       53       2.23
 DAL           42          37.45     4.11       23       51       4.55
 POR           42          37.16     4.09       24       52       4.84
 ATL           41          38.18     4.01       26       55       2.82
 NYK           41          35.64     4.05       24       50       5.36
 MIA           40          35.38     4.03       24       48       4.62
 GSW           39          37.43     3.97       24       51       1.57
 MEM           38          36.13     3.97       22       49       1.87
 BOS           36          37.62     4.02       25       51       1.62
 IND           34          37.92     3.96       24       54       3.92
 WAS           34          30.91     4.14       19       45       3.09
 CHA           33          35.97     4.12       23       48       2.97
 SAS           33          34.93     4.10       22       48       1.93
 CHI           31          35.91     3.98       23       50       4.91
 NOP           31          35.59     4.03       23       47       4.59
 SAC           31          32.77     4.13       19       47       1.77
 TOR           27          37.08     4.15       24       50      10.08
 MIN           23          28.60     4.05       14       42       5.60
 CLE           22          30.24     3.97       17       43       8.24
 OKC           22          27.95     3.99       16       41       5.95
 ORL           21          29.72     4.00       17       41       8.72
 DET           20          31.23     4.12       18       44      11.23
 HOU           17          30.71     4.05       19       45      13.71

==================== SEASON 2021-22 (MAE: 5.87 wins) ====================
Team  Actual Wins  Sim Mean Wins  Sim Std  Sim Min  Sim Max  Abs Error
 PHX           64          46.89     4.14       33       59      17.11
 MEM           56          43.40     4.33       29       56      12.60
 GSW           53          48.68     4.09       36       61       4.32
 MIA           53          46.99     4.19       33       61       6.01
 DAL           52          42.83     4.26       29       56       9.17
 BOS           51          45.61     4.48       31       59       5.39
 MIL           51          44.65     4.34       30       57       6.35
 PHI           51          44.55     4.33       33       58       6.45
 UTA           49          47.21     4.30       33       59       1.79
 DEN           48          44.61     4.39       31       59       3.39
 TOR           48          42.69     4.29       30       57       5.31
 MIN           46          44.15     4.30       32       59       1.85
 CHI           46          43.39     4.39       31       60       2.61
 BKN           44          41.30     4.26       28       54       2.70
 CLE           44          44.40     4.36       31       57       0.40
 CHA           43          40.87     4.26       26       54       2.13
 ATL           43          42.16     4.22       29       55       0.84
 LAC           42          42.45     4.39       30       56       0.45
 NYK           37          41.53     4.46       25       56       4.53
 NOP           36          37.82     4.47       22       53       1.82
 WAS           35          40.54     4.42       27       56       5.54
 SAS           34          40.46     4.37       27       55       6.46
 LAL           33          39.09     4.43       23       58       6.09
 SAC           30          36.58     4.35       22       51       6.58
 POR           27          36.02     4.37       20       50       9.02
 IND           25          37.73     4.25       26       53      12.73
 OKC           24          32.27     4.24       19       46       8.27
 DET           23          31.30     4.43       16       45       8.30
 ORL           22          29.26     4.36       16       44       7.26
 HOU           20          30.57     4.30       18       45      10.57

==================== SEASON 2022-23 (MAE: 4.94 wins) ====================
Team  Actual Wins  Sim Mean Wins  Sim Std  Sim Min  Sim Max  Abs Error
 MIL           58          45.86     4.21       31       62      12.14
 BOS           57          46.23     4.14       33       59      10.77
 PHI           54          44.66     4.42       29       60       9.34
 DEN           53          44.61     4.36       32       58       8.39
 CLE           51          47.50     4.33       33       61       3.50
 MEM           51          44.51     4.37       30       56       6.49
 SAC           48          44.74     4.31       32       60       3.26
 NYK           47          42.82     4.23       30       55       4.18
 BKN           45          42.34     4.25       28       59       2.66
 PHX           45          43.75     4.24       31       57       1.25
 LAC           44          41.10     4.46       25       53       2.90
 MIA           44          41.43     4.51       24       57       2.57
 GSW           44          41.52     4.40       27       55       2.48
 LAL           43          39.39     4.34       28       52       3.61
 MIN           42          41.36     4.40       27       57       0.64
 NOP           42          44.43     4.27       33       58       2.43
 ATL           41          42.10     4.41       28       54       1.10
 TOR           41          42.78     4.24       30       56       1.78
 OKC           40          41.34     4.41       25       55       1.34
 CHI           40          41.17     4.22       26       56       1.17
 DAL           38          43.44     4.27       31       57       5.44
 UTA           37          41.61     4.42       26       54       4.61
 IND           35          39.88     4.35       27       53       4.88
 WAS           35          39.71     4.25       26       52       4.71
 ORL           34          36.21     4.29       22       51       2.21
 POR           33          39.01     4.37       24       55       6.01
 CHA           27          34.00     4.29       20       48       7.00
 HOU           22          31.35     4.55       18       44       9.35
 SAS           22          30.77     4.31       16       45       8.77
 DET           17          30.37     4.25       12       48      13.37

==================== SEASON 2023-24 (MAE: 6.57 wins) ====================
Team  Actual Wins  Sim Mean Wins  Sim Std  Sim Min  Sim Max  Abs Error
 BOS           64          49.81     4.00       37       61      14.19
 DEN           57          47.00     4.37       32       63      10.00
 OKC           57          47.48     4.07       32       63       9.52
 MIN           56          46.76     4.34       32       62       9.24
 LAC           51          46.43     4.04       35       58       4.57
 DAL           50          43.75     4.15       27       57       6.25
 NYK           50          44.72     4.26       32       58       5.28
 MIL           49          45.54     4.27       32       58       3.46
 NOP           49          45.06     4.25       32       58       3.94
 PHX           49          44.37     4.16       32       59       4.63
 CLE           48          44.14     4.37       32       56       3.86
 IND           47          43.23     4.12       29       58       3.77
 ORL           47          44.52     4.22       31       61       2.48
 PHI           47          45.52     4.32       29       57       1.48
 LAL           47          42.14     4.26       27       55       4.86
 GSW           46          43.38     4.40       31       60       2.62
 SAC           46          42.12     4.14       30       53       3.88
 MIA           46          42.70     4.32       29       56       3.30
 HOU           41          42.81     4.29       29       59       1.81
 CHI           39          37.78     4.40       22       52       1.22
 ATL           36          40.04     4.30       28       53       4.04
 BKN           32          40.10     4.32       28       53       8.10
 UTA           31          35.02     4.33       20       48       4.02
 MEM           27          33.06     4.36       20       49       6.06
 TOR           25          37.48     4.36       24       50      12.48
 SAS           22          31.54     4.25       18       47       9.54
 POR           21          31.96     4.39       17       46      10.96
 CHA           21          31.87     4.24       18       45      10.87
 WAS           15          29.26     4.28       15       42      14.26
 DET           14          30.40     4.17       17       46      16.40
