SEASON,TEAM,ACTUAL_WINS,SIMULATED_MEAN_WINS,ABSOLUTE_ERROR
2022-23,GSW,44,44.358,0.357999999999997
2022-23,MIA,44,43.916,0.08400000000000318
2022-23,NOP,42,43.662,1.661999999999999
2022-23,TOR,41,43.287,2.286999999999999
2022-23,ATL,41,42.493,1.493000000000002
2022-23,MIN,42,42.209,0.20900000000000318
2022-23,UTA,37,41.642,4.642000000000003
2022-23,LAC,44,40.827,3.173000000000002
2022-23,CHI,40,40.264,0.2640000000000029
2022-23,OKC,40,38.198,1.8019999999999996
2022-23,LAL,43,37.546,5.454000000000001
2022-23,WAS,35,36.586,1.5859999999999985
2022-23,IND,35,34.821,0.17900000000000205
2022-23,ORL,34,33.995,0.005000000000002558
2022-23,POR,33,32.722,0.2779999999999987
2022-23,CHA,27,30.441,3.440999999999999
2022-23,SAS,22,26.833,4.832999999999998
2022-23,DET,17,25.672,8.672
2022-23,HOU,22,24.141,2.1409999999999982
2023-24,BOS,64,54.68,9.32
2023-24,MIN,56,50.24,5.759999999999998
2023-24,DEN,57,49.905,7.094999999999999
2023-24,OKC,57,49.738,7.2620000000000005
2023-24,NYK,50,48.595,1.4050000000000011
2023-24,LAC,51,48.294,2.706000000000003
2023-24,CLE,48,48.195,0.19500000000000028
2023-24,MIL,49,48.115,0.884999999999998
2023-24,NOP,49,47.61,1.3900000000000006
2023-24,PHX,49,47.333,1.6670000000000016
2023-24,GSW,46,46.337,0.3370000000000033
2023-24,PHI,47,45.834,1.1659999999999968
2023-24,MIA,46,45.109,0.8909999999999982
2023-24,ORL,47,44.915,2.085000000000001
2023-24,SAC,46,43.603,2.3969999999999985
2023-24,DAL,50,43.007,6.993000000000002
2023-24,LAL,47,42.604,4.396000000000001
2023-24,IND,47,42.274,4.725999999999999
2023-24,CHI,39,39.494,0.4939999999999998
2023-24,ATL,36,39.335,3.335000000000001
2023-24,BKN,32,39.118,7.118000000000002
2023-24,HOU,41,39.003,1.9969999999999999
2023-24,TOR,25,34.482,9.482
2023-24,UTA,31,32.845,1.8449999999999989
2023-24,MEM,27,32.147,5.1469999999999985
2023-24,CHA,21,27.035,6.035
2023-24,SAS,22,26.342,4.341999999999999
2023-24,WAS,15,24.815,9.815000000000001
2023-24,POR,21,24.619,3.6189999999999998
2023-24,DET,14,24.377,10.376999999999999
