SEASON,TEAM,ACTUAL_WINS,SIMULATED_MEAN_WINS,ABSOLUTE_ERROR
2019-20,TOR,53,46.272,6.7280000000000015
2019-20,LAL,52,44.598,7.402000000000001
2019-20,BOS,48,44.142,3.857999999999997
2019-20,DEN,46,44.027,1.972999999999999
2019-20,HOU,44,43.794,0.20600000000000307
2019-20,LAC,49,43.581,5.418999999999997
2019-20,DAL,43,43.0,0.0
2019-20,UTA,44,42.338,1.661999999999999
2019-20,PHI,43,41.215,1.7849999999999966
2019-20,MIA,44,40.895,3.104999999999997
2019-20,IND,45,39.875,5.125
2019-20,OKC,44,39.855,4.145000000000003
2019-20,POR,35,37.044,2.043999999999997
2019-20,ORL,33,36.954,3.9540000000000006
2019-20,BKN,35,35.875,0.875
2019-20,SAS,32,33.897,1.8969999999999985
2019-20,SAC,31,32.559,1.5589999999999975
2019-20,MEM,34,32.357,1.6430000000000007
2019-20,PHX,34,31.789,2.2109999999999985
2019-20,NOP,30,30.243,0.24299999999999855
2019-20,WAS,25,28.634,3.6340000000000003
2019-20,DET,20,28.182,8.181999999999999
2019-20,MIN,19,25.972,6.972000000000001
2019-20,CHI,22,25.346,3.346
2019-20,CHA,23,24.143,1.1430000000000007
2019-20,GSW,15,22.977,7.977
2019-20,ATL,20,22.073,2.0730000000000004
2019-20,CLE,19,21.586,2.5859999999999985
2019-20,NYK,21,21.443,0.4430000000000014
2020-21,LAC,47,46.271,0.7289999999999992
2020-21,UTA,52,46.232,5.768000000000001
2020-21,PHX,51,44.929,6.070999999999998
2020-21,PHI,49,44.068,4.932000000000002
2020-21,MIL,46,44.024,1.975999999999999
2020-21,BKN,48,43.791,4.209000000000003
2020-21,LAL,42,43.055,1.0549999999999997
2020-21,DEN,47,42.152,4.847999999999999
2020-21,BOS,36,40.473,4.472999999999999
2020-21,DAL,42,40.076,1.9239999999999995
2020-21,TOR,27,38.803,11.802999999999997
2020-21,MEM,38,38.271,0.2710000000000008
2020-21,POR,42,38.148,3.8519999999999968
2020-21,IND,34,38.053,4.052999999999997
2020-21,MIA,40,36.772,3.2280000000000015
2020-21,NOP,31,36.455,5.454999999999998
2020-21,NYK,41,36.216,4.783999999999999
2020-21,ATL,41,35.77,5.229999999999997
2020-21,GSW,39,35.294,3.706000000000003
2020-21,SAS,33,34.6,1.6000000000000014
2020-21,CHA,33,32.967,0.03300000000000125
2020-21,SAC,31,30.854,0.1460000000000008
2020-21,CHI,31,30.566,0.43400000000000105
2020-21,WAS,34,28.284,5.716000000000001
2020-21,OKC,22,28.082,6.082000000000001
2020-21,HOU,17,26.549,9.549
2020-21,ORL,21,26.089,5.088999999999999
2020-21,DET,20,25.66,5.66
2020-21,CLE,22,24.492,2.492000000000001
2020-21,MIN,23,23.004,0.004000000000001336
2021-22,PHX,64,56.327,7.673000000000002
2021-22,UTA,49,52.487,3.487000000000002
2021-22,GSW,53,51.573,1.4269999999999996
2021-22,MIL,51,50.306,0.6940000000000026
2021-22,MIA,53,50.193,2.807000000000002
2021-22,MEM,56,48.339,7.661000000000001
2021-22,BOS,51,48.175,2.825000000000003
2021-22,PHI,51,47.78,3.219999999999999
2021-22,DEN,48,47.649,0.3509999999999991
2021-22,DAL,52,47.176,4.823999999999998
2021-22,CHI,46,44.854,1.1460000000000008
2021-22,BKN,44,43.729,0.2710000000000008
2021-22,MIN,46,43.068,2.932000000000002
2021-22,CLE,44,42.879,1.1210000000000022
2021-22,ATL,43,42.596,0.40400000000000347
2021-22,TOR,48,42.164,5.8359999999999985
2021-22,LAC,42,41.994,0.006000000000000227
2021-22,NYK,37,40.921,3.9209999999999994
2021-22,CHA,43,40.067,2.933
2021-22,WAS,35,39.6,4.600000000000001
2021-22,LAL,33,37.506,4.506
2021-22,SAS,34,37.364,3.363999999999997
2021-22,NOP,36,36.25,0.25
2021-22,POR,27,35.485,8.485
2021-22,IND,25,35.171,10.171
2021-22,SAC,30,31.175,1.1750000000000007
2021-22,HOU,20,24.472,4.472000000000001
2021-22,OKC,24,24.344,0.3440000000000012
2021-22,DET,23,23.761,0.7609999999999992
2021-22,ORL,22,22.595,0.5949999999999989
2022-23,BOS,57,51.766,5.234000000000002
2022-23,CLE,51,49.468,1.5319999999999965
2022-23,MEM,51,49.463,1.536999999999999
2022-23,MIL,58,49.437,8.563000000000002
2022-23,DEN,53,49.356,3.6439999999999984
2022-23,PHI,54,48.932,5.067999999999998
2022-23,PHX,45,47.011,2.011000000000003
2022-23,DAL,38,45.893,7.893000000000001
2022-23,BKN,45,45.25,0.25
2022-23,SAC,48,44.695,3.3049999999999997
2022-23,NYK,47,44.164,2.8359999999999985
2022-23,MIA,44,43.982,0.018000000000000682
2022-23,TOR,41,43.926,2.926000000000002
2022-23,GSW,44,43.863,0.13700000000000045
2022-23,NOP,42,43.465,1.4650000000000034
2022-23,MIN,42,42.3,0.29999999999999716
2022-23,UTA,37,42.196,5.195999999999998
2022-23,ATL,41,41.966,0.9660000000000011
2022-23,LAC,44,40.847,3.1529999999999987
2022-23,CHI,40,40.392,0.392000000000003
2022-23,OKC,40,38.283,1.7169999999999987
2022-23,LAL,43,37.264,5.735999999999997
2022-23,WAS,35,37.023,2.0230000000000032
2022-23,IND,35,35.256,0.2560000000000002
2022-23,ORL,34,33.747,0.2530000000000001
2022-23,POR,33,33.351,0.3509999999999991
2022-23,CHA,27,30.3,3.3000000000000007
2022-23,SAS,22,26.727,4.727
2022-23,DET,17,26.063,9.062999999999999
2022-23,HOU,22,23.614,1.6140000000000008
2023-24,BOS,64,55.191,8.808999999999997
2023-24,DEN,57,50.149,6.850999999999999
2023-24,MIN,56,50.142,5.857999999999997
2023-24,OKC,57,49.38,7.619999999999997
2023-24,NYK,50,48.926,1.073999999999998
2023-24,MIL,49,48.839,0.16100000000000136
2023-24,LAC,51,48.695,2.3049999999999997
2023-24,CLE,48,48.377,0.37700000000000244
2023-24,NOP,49,48.093,0.9069999999999965
2023-24,PHX,49,47.318,1.6820000000000022
2023-24,GSW,46,46.369,0.3689999999999998
2023-24,PHI,47,45.965,1.0349999999999966
2023-24,ORL,47,45.295,1.7049999999999983
2023-24,MIA,46,45.197,0.8029999999999973
2023-24,SAC,46,43.747,2.253
2023-24,DAL,50,43.296,6.704000000000001
2023-24,LAL,47,43.283,3.7169999999999987
2023-24,IND,47,42.203,4.796999999999997
2023-24,CHI,39,39.461,0.4609999999999985
2023-24,ATL,36,39.433,3.433
2023-24,HOU,41,39.23,1.7700000000000031
2023-24,BKN,32,38.858,6.857999999999997
2023-24,TOR,25,33.807,8.807000000000002
2023-24,UTA,31,32.597,1.5970000000000013
2023-24,MEM,27,31.475,4.475000000000001
2023-24,CHA,21,26.454,5.454000000000001
2023-24,SAS,22,26.164,4.1640000000000015
2023-24,WAS,15,24.67,9.670000000000002
2023-24,POR,21,24.639,3.6389999999999993
2023-24,DET,14,22.747,8.747
